Id,Input
1,-0.1397-0.17675i
2,-0.29777-1.1052i
3,-1.108+0.73044i
4,-0.72671+0.63519i
5,0.23627+0.55126i
6,-0.34666-0.94088i
7,0.20886+1.1076i
8,-0.16932+0.26374i
9,0.32183-0.35201i
10,0.3158-0.85352i
11,0.75905-0.8006i
12,0.74756+0.73928i
13,0.95231+0.36216i
14,-0.33467-1.0498i
15,-0.54158-0.50309i
16,-0.88429-0.74646i
17,-0.69014-0.11098i
18,0.29446+0.32083i
19,0.62525+0.68459i
20,-0.8941-1.0608i
21,1.0253-0.4895i
22,0.66362+0.63418i
23,0.15504-0.68546i
24,-1.0331-0.98596i
25,-0.36963-0.9802i
26,-0.63037+0.66812i
27,0.28568-0.40831i
28,0.3997+0.32087i
29,0.89898-1.0206i
30,0.70685-0.8045i
31,-0.83044+0.73909i
32,1.0296+0.93209i
33,0.6729+0.70785i
34,0.8134-0.66675i
35,-0.9252-0.27314i
36,-0.68152-0.60907i
37,-0.29214+0.3444i
38,0.39144-0.93034i
39,-0.92772+0.32698i
40,-0.35569-0.39559i
41,-0.34741-0.39452i
42,-0.74265-1.119i
43,-0.71838-0.62083i
44,-0.19156+1.0133i
45,-0.66646+0.65189i
46,-0.34927+0.33014i
47,0.94575+0.66529i
48,-0.71036-0.19775i
49,0.69076-0.81173i
50,-0.7883-0.76109i
51,0.70104-0.42979i
52,-0.58331+0.52751i
53,0.98495+0.33874i
54,-0.7712-0.78526i
55,0.16194+0.49738i
56,1.0439+0.36528i
57,-0.18744+1.0965i
58,0.74256+0.72401i
59,0.43359-0.23588i
60,-0.85204-0.88826i
61,-1.0603-0.25058i
62,-0.83896-0.22164i
63,0.21059+0.50302i
64,0.67869+0.72244i
65,0.3663-0.85878i
66,-0.23634+0.40489i
67,-0.15627+0.14129i
68,-0.98831-1.1626i
69,-0.67754+0.62762i
70,-1.0097+0.12575i
71,0.6007-0.75754i
72,-0.69617+0.78467i
73,0.93149-0.88944i
74,0.38735-0.27982i
75,0.75844-0.64862i
76,-0.74402+0.57169i
77,-0.19214+0.46041i
78,-0.48338+0.038025i
79,-0.19856-0.88885i
80,-0.49955+0.52638i
81,0.25455-0.90311i
82,0.97327+0.3281i
83,-0.49613+0.82169i
84,-0.58032+0.74138i
85,0.77042-0.63542i
86,-1.0224+0.36284i
87,0.23069-0.22798i
88,0.55107-0.99668i
89,-0.79681-0.71465i
90,-0.20885-0.9695i
91,0.74328+0.6845i
92,0.65441+0.65978i
93,0.75758+1.0763i
94,0.68831+0.74094i
95,-0.79158-0.4954i
96,0.31198+0.97415i
97,-0.86056-1.2252i
98,0.74391-0.57926i
99,-0.96378-0.89235i
100,0.24791+0.34674i
101,-0.44196-0.13575i
102,-0.75799+0.095755i
103,-0.57171-0.63888i
104,0.82312-0.49963i
105,-0.72282-0.78136i
106,0.74147-0.69607i
107,-0.21358+0.39095i
108,-0.56628+0.78886i
109,-0.82864-0.83582i
110,-0.39289-0.09715i
111,-1.0312-0.88851i
112,0.2839-0.30031i
113,1.0016+0.88424i
114,0.80973-1.0031i
115,0.51065+0.68451i
