Id,Input,Label
10001,-0.78145+0.65703i,1
10002,-0.35728+1.0268i,2
10003,0.38244+0.32534i,2
10004,-0.95181-0.86482i,2
10005,0.95482+1.0778i,3
10006,-0.82798+0.79544i,3
10007,0.71895-0.66458i,1
10008,-0.74045+0.66962i,1
10009,-0.25096+0.28497i,2
10010,-0.64751-0.85582i,1
10011,-0.65857+0.83817i,3
10012,0.35655-1.0199i,2
10013,0.65218-0.52645i,1
10014,-1.0839+0.18406i,3
10015,0.64476+0.16936i,3
10016,0.73291-0.75217i,1
10017,0.36757-0.76922i,3
10018,1.0883+0.36202i,2
10019,-0.725+0.78756i,1
10020,0.97191-0.22939i,2
10021,-0.73669-0.81551i,1
10022,0.29068+0.30042i,2
10023,0.7268-0.25612i,3
10024,0.69622-0.64871i,1
10025,0.087516-0.82142i,3
10026,-0.18063-1.1867i,3
10027,0.5114-0.373i,2
10028,0.86192+0.28989i,2
10029,0.90182-0.86288i,2
10030,-0.63955+0.77699i,1
10031,-0.77752+0.76282i,1
10032,-0.76959+0.63309i,1
10033,-0.85557+0.71769i,1
10034,-0.66323-0.78442i,1
10035,-0.47302-0.062304i,3
10036,-0.7592-0.81327i,1
10037,-0.75956+0.70169i,1
10038,-0.68648-0.75037i,1
10039,-0.78284+0.74197i,1
10040,0.7854-0.75778i,1
10041,-1.024+0.9274i,2
10042,1.0973+1.1088i,3
10043,-0.014852-0.6512i,3
10044,1.0662+0.31063i,2
10045,-0.79672+0.76364i,1
10046,-0.57786+0.81305i,1
10047,-0.32721+0.22262i,2
10048,-0.83735-0.71385i,1
10049,-0.34462-1.0106i,2
10050,-0.80095-0.70856i,1
10051,0.49468+0.63068i,3
10052,0.31442+0.95403i,2
10053,-1.0934-0.46663i,3
10054,-0.3521+0.36904i,2
10055,-1.1482+0.22338i,2
10056,0.15198-0.80968i,3
10057,0.17473+0.40014i,3
10058,0.66057+0.6481i,1
10059,0.25283+0.49453i,3
10060,1.0416-0.7363i,2
10061,-0.6449-0.73682i,3
10062,0.18244+0.46595i,3
10063,-0.84552-0.75066i,1
10064,0.33088+0.32524i,2
10065,0.69728-0.67283i,1
10066,-0.18734+0.3808i,2
10067,-0.41769-0.33509i,2
10068,-0.75029+1.0147i,3
10069,-0.36349-0.3628i,2
10070,1.0838+0.7749i,3
10071,0.73656+0.69498i,1
10072,0.9248-1.1644i,3
10073,0.65492+0.61433i,1
10074,0.78192-0.68905i,1
10075,-0.18101-0.77474i,3
10076,0.47846-0.83214i,1
10077,-0.79176+0.74415i,1
10078,0.19932+1.1328i,3
10079,-0.69016-0.66554i,1
10080,-0.6068-0.77969i,1
10081,0.6588+0.66674i,1
10082,0.64666+0.74061i,3
10083,1.045-0.46428i,3
10084,-0.73403-0.12439i,3
10085,-0.28236-0.93647i,2
10086,-0.24969-0.29512i,2
10087,-0.69883+0.61296i,1
10088,-0.74423-0.7802i,1
10089,-0.14312-0.93287i,2
10090,0.63717+0.67876i,1
10091,-0.6679-0.68099i,1
10092,-1.111-0.82662i,2
10093,0.52286-0.83328i,3
10094,0.30312-0.97882i,2
10095,-0.65817-0.8259i,1
10096,0.81472+1.0234i,3
10097,0.13425-0.18973i,3
10098,0.93916+1.0128i,2
10099,-0.54307+1.1936i,3
10100,-0.78163+0.63448i,3
10101,-0.37985+0.97044i,2
10102,-0.2362-0.35504i,2
10103,-0.66221+0.66791i,1
10104,0.21328-0.99757i,2
10105,0.76645+0.62977i,1
10106,-0.7083+0.77872i,1
10107,-0.62774-0.74086i,1
10108,0.81931+0.71267i,1
10109,0.38663+0.99256i,2
10110,-0.72514-0.51218i,3
10111,1.1074-0.97888i,3
10112,0.70783+0.70473i,1
10113,-0.90316+0.57979i,3
10114,0.83447+0.6245i,1
10115,-0.76946-0.55066i,3
10116,-0.99634+0.99545i,2
10117,-0.21909+0.31561i,2
10118,0.96862-0.27775i,2
10119,-0.75764-0.59333i,3
10120,0.72349+1.0139i,3
10121,-0.52273-1.0507i,3
10122,0.71887-0.58924i,1
10123,0.30509-0.22076i,2
