Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input
1,-0.75302+0.14503i,0.17527+0.20068i,0.85686+0.17553i,-0.32811-1.1706i,-0.028749-0.26856i,1.0869+0.77887i,-0.98821+0.69761i,0.10359-1.4202i,0.012885+1.1309i,0.010912-1.2214i,-0.15424-0.18243i,0.44193-0.25282i,-0.20012-0.14985i,0.54322-0.15138i,0.22269+1.6053i,0.57667-0.69376i,-0.67205-0.18791i,0.61967+0.34848i,-0.061442+0.79347i,-0.85029-0.92463i,0.16908+0.79225i,-0.11579-1.0607i,0.6371-0.23516i,0.35113-0.017553i,-1.4752+0.69754i,0.25667-0.79692i,1.3205+0.23932i,-1.3542+0.69124i,0.2231-0.22493i,0.80363-0.47862i,-1.5805+0.50551i,1.2745-0.67768i,-0.064789-0.16246i,0.32451+0.10201i,-0.86629+0.58042i,0.16447+0.23438i,0.8814-0.92612i,-0.67357-0.31387i,0.84309+0.36371i,0.049285+0.19457i,0.18405-0.46657i,-0.84447-0.19009i,-0.37968+0.30695i,1.0864+0.42899i,-0.65628-0.0482i,-0.35928-0.75872i,0.48232+0.22506i,-0.31826+0.85197i,-0.72064-0.29924i,0.73535-1.3459i,0.1364-0.18707i,-0.053772+1.5964i,-0.68595-1.0578i,0.73104-0.12675i,-0.29343+0.51533i,0.11884+0.43295i,-0.060713-1.4781i,0.52255+1.1771i,0.73599-0.45022i,-0.27223+0.82597i,0.0043444-0.93455i,-0.80498-0.20653i,0.59005-0.32437i,-0.80851+0.8127i,0.43047-1.2993i,-0.28378+0.3159i,0.87495+1.2615i,-0.71615-0.82158i,-0.53116-0.11752i,-0.14975-0.16096i,1.0904+0.43753i,-0.40867+0.35027i,0.56452+0.039513i,-0.63031-0.057616i,-0.61781-0.3918i,0.88437-0.73053i,-0.50874-0.27943i,1.045+0.72822i,-0.34976+1.1562i,-1.1119-0.74629i,0.92157+0.73811i,-1.2481-0.88813i,0.99153-0.17295i,-0.7654-0.32187i,-0.17201-0.028391i,1.1586-0.35166i,0.77891+0.37267i,-1.144+0.50725i,0.54587+0.71345i,-0.46882-1.4813i,-0.67173+0.44858i,-0.2718+0.020551i,1.7412-0.11683i,-0.22787-0.42697i,-0.68541+0.44204i,0.72007-0.33998i,-0.42961+0.39615i,0.44081+0.89223i,0.018617-0.2561i,-0.69406-1.2575i,0.36791+0.69857i
2,-0.61064+0.40437i,0.23532+0.26335i,-0.17087+0.13958i,-0.28736-0.5716i,0.11504-1.0568i,0.19616+0.45904i,-0.48668+0.64226i,0.075753-0.37504i,0.94352+0.14856i,-0.3887-0.78287i,0.55864+0.14758i,0.011879+1.0279i,-0.077768-0.48428i,-0.84398+0.51843i,1.1161-0.23492i,-0.89682-0.030027i,1.2152-0.26523i,0.20903+0.063488i,-0.54437-0.43898i,-0.25733-0.36339i,0.60715+0.70839i,-1.2329+0.26286i,0.59538-1.2095i,-0.17874+0.15977i,0.50227+0.75711i,0.87999-0.38953i,-1.1651-0.34627i,-0.13101+0.86433i,0.63352-1.1102i,-0.017721+0.89774i,-0.30187+0.44116i,-0.5071-0.17651i,1.1611-0.2104i,0.37288-0.26186i,-0.16001-0.13628i,-0.20884+1.3921i,-1.2017-0.59238i,0.79979+0.065834i,-0.30122+0.46601i,0.27905-1.2881i,0.37744+1.1468i,0.20726-0.84762i,-0.75587+0.46131i,0.45174-0.77797i,-0.78599+0.36489i,0.90929+0.064051i,-0.061471+1.0681i,0.034954-0.82598i,-0.7243-0.5002i,0.2706-0.53926i,0.38323+1.6527i,0.73957-0.92885i,-0.8155-0.078091i,1.0357+0.10706i,-1.0108+1.0265i,0.65236-1.0068i,-0.37896+0.75392i,-0.22073-1.2291i,-0.12142+0.13637i,0.62584-0.30866i,0.14821-0.16946i,0.50411+0.1559i,-0.73628+0.48574i,0.11054-1.0512i,0.083935-0.2084i,0.38821+1.717i,-0.64557-1.3448i,-0.26932+0.23264i,0.14089-0.51006i,0.05967+0.50165i,0.033942+0.60838i,0.13353-0.2536i,-0.31079+0.47558i,0.27775-1.3509i,-0.40221+0.60959i,0.41395+0.89831i,-0.075578-1.4691i,-0.11509+0.29088i,0.49671+0.86169i,-0.25917+0.56297i,0.041802-0.80257i,0.50613+0.28873i,-1.0146-0.67867i,-0.14256+0.85175i,-0.28638-0.63277i,-0.37283+0.22851i,0.94898-0.93372i,0.51823+0.161i,-1.1398+0.23345i,0.47749-0.25967i,0.29472-0.46209i,-0.10568+0.22512i,0.67103-0.14831i,-0.70389+0.48436i,0.57534-0.13782i,-0.97621-0.089401i,0.50377-0.24401i,-0.32056-0.34345i,1.1646+0.63821i,-0.80774+0.57756i,0.11661-0.60633i
3,0.19707+0.26067i,-1.0721-0.3847i,0.73099+0.16973i,-0.34809-0.27205i,0.32049+0.23535i,0.15183+0.15988i,-0.54791-0.32184i,0.83991-0.57171i,-1.4904+0.71144i,1.7126-0.15309i,-1.2124-0.23146i,-0.406-0.065638i,0.045042-0.037653i,-0.22621+0.1031i,0.41429-0.18502i,0.31565-0.88182i,-0.4092-0.18399i,0.56104-0.16105i,0.80061+0.85669i,-0.36815+0.91296i,0.086923+0.020633i,-0.77246-0.64491i,0.31104+0.21057i,-0.30828-0.70281i,0.11046-0.68202i,0.62248+1.7594i,-0.66991-0.46078i,0.53963-0.89875i,-0.51853-0.27612i,0.91038+0.9252i,-0.50631-0.59657i,-0.21484+0.28347i,0.61634+0.9398i,-0.62954-1.3044i,0.57144+1.0874i,0.68522-0.437i,-1.0307-0.44983i,-0.04916-0.47389i,1.0884+0.70932i,-0.58135+0.70097i,0.19634+0.03155i,-0.85952+0.11796i,0.87003-0.58673i,0.058074-0.25727i,0.17375+1.0821i,-0.9119-0.48377i,0.077708-0.70169i,1.0011+0.47002i,-1.4442+0.36301i,1.674-0.40247i,-1.0415-0.487i,0.47727+0.74174i,-0.33126-1.0124i,0.75794+0.019078i,-0.0022373+0.3031i,-0.72966-0.03957i,0.81568+0.5917i,-0.18519-1.1062i,-1.1762+0.89625i,-0.00087746-0.46684i,0.30863-0.39003i,0.43618+0.43974i,-0.39266-0.24918i,-0.18698+0.088552i,0.63417-0.65288i,0.9818+0.29396i,-1.2181+1.0364i,0.053326-0.57021i,-0.66387+0.14818i,1.3172+0.17611i,-0.78043-1.3078i,0.29615+1.8326i,0.10473-1.2884i,-0.24176+0.80352i,0.063423-1.2303i,0.57533+1.5011i,-0.44328-1.4719i,-0.66692+0.90539i,0.44698-1.2741i,1.2628+0.83677i,-0.73837+1.1116i,-0.21311-1.2331i,0.45342+1.2479i,-1.2153-0.88059i,1.7942-0.13192i,-1.4746+0.54422i,0.91262-0.33938i,-1.2858+0.47918i,1.6391-0.69133i,-0.44163-0.15023i,-0.1528+1.1256i,-0.48457-1.2819i,0.050704+0.11088i,-0.043669-0.45915i,0.90574+0.41887i,-0.73435-0.81032i,0.00011633+0.59678i,-0.8027+0.16642i,0.49158+0.43214i,0.40464+0.47412i,-0.28994-0.86445i
4,0.3234-0.024312i,-0.56947+0.14082i,-0.19298-0.71349i,0.48475+0.75694i,0.50196-0.6377i,-0.44202+0.11691i,-0.24864+0.30928i,0.064046+0.59347i,0.65644-1.01i,-1.3829+0.60693i,0.1705+0.17049i,0.74736-0.49358i,-0.49804+0.76105i,0.14317-0.2869i,-1.0486-0.081663i,0.72213-0.57174i,0.50769+0.87498i,-0.71609-0.35702i,0.59861-0.13523i,-0.29447-0.23348i,0.29958-0.44204i,0.35839+1.2481i,-0.21537+0.56026i,-0.69975-1.3827i,1.1302+0.60012i,-0.40597-0.77754i,0.34181+1.1699i,-0.12074-0.48935i,-0.27596-0.24747i,-0.61556+0.03895i,0.2895+0.10399i,0.20195-0.42572i,0.79557+0.46441i,0.11545+0.13426i,0.40845-0.23851i,0.26205+0.11171i,-0.16998-0.15963i,-0.62908+1.1545i,0.78117-0.38288i,-0.17637+0.55338i,-0.99412+0.01159i,0.034124-1.0128i,-0.51899+0.57693i,1.3349-0.67694i,-1.0021+0.83699i,-0.54203-0.24727i,1.4347-0.068417i,-1.2294+0.33916i,0.96966-0.83816i,-0.71704+0.47343i,-0.67674+0.028567i,1.3486-0.70404i,-0.55583-0.5365i,-0.70096+0.93197i,0.53858+0.42919i,0.1407-0.28415i,0.086191+0.67327i,-0.4766-0.039021i,-0.31292-1.1856i,0.09604+0.44299i,0.47657-0.78924i,-0.62228+1.0553i,0.079186-0.36959i,0.40543+0.8872i,-0.39107-1.6987i,1.2162+0.56739i,-0.95299+0.9507i,-0.55302-0.14314i,0.25413-1.386i,-0.17927+0.15306i,0.74937+0.38398i,-0.83897+0.55771i,-0.18168+0.053658i,1.0047-0.8155i,-0.72234+0.46915i,0.93593+0.12888i,-1.5635+0.083765i,1.7422-0.42068i,-0.19961-0.15145i,-0.18222-0.29095i,0.04388+1.5367i,-0.71514-1.3137i,-0.26965+0.17678i,1.5098-0.080434i,-0.16682-0.129i,-0.84294-0.15333i,-0.56792+0.55695i,1.4475-0.06962i,-0.017017-0.48343i,0.038678+1.0365i,0.15413-0.87555i,0.26504+0.62426i,-0.16472+0.48342i,-0.19523-1.0998i,-0.01485+0.8994i,0.35598+0.36693i,-0.12187-0.48296i,-0.93852-0.14349i,-0.16436-0.15199i,1.5332-0.092845i,-0.72974+0.24614i
5,0.19135-0.054698i,-1.032+0.3152i,0.45669-0.95355i,0.52498-0.035396i,0.063978-0.42617i,-0.36729-0.20623i,1.0209+0.7738i,-0.88127-0.32361i,0.80402+1.0526i,-0.95646-0.73861i,0.88866-0.27963i,-0.44765+0.39522i,-0.63592+0.42888i,1.0017-0.54298i,0.2044-0.47989i,-0.58375+0.24243i,-0.63819+0.0046799i,0.63242-0.41661i,-0.026379-0.75548i,-0.30008+1.1237i,1.4079-0.32886i,-0.33683+0.53115i,-0.17542+0.85786i,-1.2516-0.8444i,0.91036-0.14533i,0.33866+0.79164i,-0.058415-0.10605i,-0.81255-1.0386i,0.46224+0.35814i,0.55253+0.36534i,-0.29357-0.93738i,0.33393+0.76734i,-0.86553+0.52287i,-0.3481-0.93453i,1.0888+0.92823i,-0.90255-0.43106i,0.68876-0.039351i,-0.67156+0.38272i,0.72135+0.36907i,-0.27806+0.57182i,0.40823-0.50963i,0.078684-0.62978i,-0.64386-0.065717i,0.97147+0.54364i,-0.059014+0.042955i,-0.046134-0.064324i,-0.46125-0.36607i,-0.53915+0.29131i,0.19157-1.0288i,0.92546+1.2611i,0.4526-0.37403i,-0.10241+0.17036i,0.42977+0.056176i,-0.96369-0.11452i,-0.33671+0.73397i,0.75398-0.15348i,-0.42573-0.72582i,0.20904+0.85148i,-0.52669-0.76344i,0.85313+0.18108i,-0.60856-0.45731i,0.29936+1.4236i,0.11378-0.98629i,-0.8442+0.13606i,0.63177-0.39567i,-0.76565+0.76622i,0.20947-1.3896i,0.23217+0.70018i,1.0148-0.42217i,-1.7803+0.54395i,1.4-0.84526i,-1.1003+1.0144i,1.0617+0.12568i,-0.15542-1.0346i,0.37361+0.35611i,-0.34602-0.001651i,-0.91034+0.59211i,0.32245-0.50581i,-0.4351+0.49134i,0.62305-0.83936i,-0.0087478+0.42704i,0.096401-0.45747i,-0.67377+0.25318i,-0.41855+0.23996i,0.51955-0.34811i,-0.17578-0.61302i,0.80152-0.13423i,-0.23599+1.2888i,0.17679-0.18639i,0.066992+0.14699i,-0.89345-0.79196i,0.72086+1.5035i,-1.0725-0.70827i,0.94633-0.10317i,-0.58189+0.19046i,0.36052-1.0814i,-0.051043+1.6867i,0.59291-1.2791i,-0.53765-0.52771i,0.73827+1.3443i,-0.54639-0.35108i
6,-0.43828-0.40156i,0.035654+0.9703i,0.24888-1.2385i,-0.46393+0.26129i,0.5915-0.19062i,-0.18855-0.48287i,0.62553+0.2454i,-0.53959+0.57092i,0.31547-0.21815i,-1.2481+0.24343i,0.65077-0.55105i,-0.61236+0.35528i,0.41646-0.51032i,-0.57011+0.32443i,0.81969-1.0658i,-0.059302+0.54769i,0.24834+0.38917i,-0.019011+0.90087i,-0.73866-1.612i,0.68052+0.8307i,-0.21935+0.51219i,-0.61873+0.019305i,0.68162+0.38092i,-0.25908-0.70735i,0.88583+0.041062i,-1.585-0.032867i,1.8328-0.17687i,-0.96196+0.62439i,-0.098975-0.27831i,0.36842-0.59967i,-1.0185+0.77074i,0.85068+0.40556i,-0.5175-1.4957i,0.56639+1.7914i,-0.099188+0.2824i,-0.52749-0.34086i,0.22976+0.3392i,0.0041825-1.1439i,0.094622+1.5462i,-0.68271-0.95598i,-0.36039+0.29196i,0.87782+0.40753i,0.17178-0.44516i,-0.52193+0.19569i,-0.72026-0.15978i,1.3633+0.13415i,-1.1049+0.35297i,0.70592+0.042719i,-0.020016-0.96721i,0.098634+0.68172i,-0.29349-0.96292i,0.20708+1.2447i,-0.2028-0.80449i,0.42304+1.3065i,-0.026316-0.58193i,-0.46786+0.81176i,0.1248-0.24533i,0.13303+0.22996i,-0.567-0.24796i,-0.23511-0.97665i,0.64888+1.6196i,0.80205-0.99975i,-0.61081+0.61266i,-0.011473+0.8936i,-0.021409-1.0852i,-0.90723-0.15871i,0.59935+0.34631i,-0.08893-0.28914i,-1.0754+0.29172i,0.61077-0.90438i,1.2397+0.44477i,-0.037509-0.3439i,-0.012973+0.73997i,0.3033+0.23079i,-0.73395-0.99384i,0.95253+0.99747i,-0.47693+0.57559i,0.039202-0.031504i,-0.71327-0.83738i,1.2742-0.005948i,-1.0973+0.77684i,0.41953-0.36851i,0.22187+0.93431i,0.39672-1.1327i,-0.24714+1.0316i,0.1259-0.78461i,0.41296+0.73075i,-0.74836-0.16071i,0.87707+0.30265i,0.20416-0.0039235i,-1.3538-0.10673i,0.054359-0.31946i,0.81251+0.51118i,-0.3702-0.4672i,-0.80967-0.043926i,0.63127-0.41672i,-0.41225+0.94749i,-0.0014041+0.17772i,0.11615+0.053568i,0.30986-1.2591i,-0.14407+0.6215i
7,-0.26183-0.58632i,0.11244+0.95179i,-0.7996-0.12232i,1.2034-0.94434i,-1.0209+0.82626i,-0.27673+0.13909i,0.71923-1.3191i,0.053659+1.1988i,0.39265-0.18147i,-1.2657+0.015696i,0.81139-0.75899i,-0.81526+0.89189i,1.1373-0.69349i,-1.1019+0.24816i,0.13523-0.44431i,0.029232+0.99541i,0.46804+0.0083062i,-0.98488-0.83066i,1.0371+0.59074i,-0.43969-0.74633i,-0.28759-0.3641i,0.4702-0.1628i,-0.24908+0.75586i,-0.92018-0.039892i,1.036-1.1553i,-0.67004+0.93874i,0.27362-1.0524i,0.6804+1.3448i,-0.79301+0.18232i,-0.090546-1.5266i,0.085371+0.89512i,1.0938-0.50805i,-0.96385-0.22553i,0.22841+1.1202i,0.59483-0.49499i,-0.3131+0.35185i,0.31127-0.75472i,-0.44269+0.070185i,0.49454-0.32727i,-0.42989-0.4523i,0.47045+1.9668i,0.55679-0.67692i,-0.71356-0.22086i,-0.30687+0.019586i,0.8225-0.5423i,0.077373+0.20606i,0.73182+0.37521i,-0.24432-0.4226i,0.18726-0.028651i,-1.4235+0.71478i,1.4022-0.046978i,-0.62841-1.2269i,-0.14196+1.2463i,0.45233+0.71475i,-0.61973-0.96342i,0.9048+0.55825i,-1.0137-1.0617i,0.86068+0.12696i,-0.98946+0.018708i,0.31742+0.41542i,0.25129-0.87044i,0.15995+1.2659i,0.34303-0.36275i,-0.34725+0.3902i,-0.27159-0.33709i,-0.99211+0.15589i,1.5866-0.73443i,0.29073+0.62738i,-0.53563-0.049892i,-0.17091-0.94256i,0.54162+1.1936i,-0.53901-0.28259i,0.95721+0.15067i,-1.7997+0.13807i,1.5068-0.23322i,-0.10164+0.011241i,0.043295+0.50916i,-0.97314-0.79168i,1.1067-0.20252i,0.080242+1.271i,0.18824-0.482i,0.14269+0.10388i,-0.40887-0.29312i,0.91448-0.029323i,-0.4478+0.67423i,-0.0063717-1.0735i,0.41207+1.456i,-0.82485+0.18469i,0.69433-0.72709i,-0.65519+0.31787i,0.36621+0.86599i,-0.86971-0.27273i,0.91788+0.025546i,0.43544-0.66932i,-0.70517+0.22485i,-0.67657-0.28126i,0.96072-0.55052i,0.71602+0.27905i,-0.99151+0.54897i,-0.7775-0.18899i,0.78646-0.13711i
8,-0.47623+0.076385i,-0.40397-0.042702i,-0.27439+0.071415i,1.368-0.31917i,0.30689+0.22344i,0.39492-0.21542i,-0.66118+1.3643i,-0.6665-0.93306i,-0.36259+0.0097163i,0.6553-0.41675i,-0.5202+0.33417i,0.20706-1.2299i,0.15928+1.208i,-0.42905-0.17997i,0.5382+0.69406i,0.25371-0.69907i,-0.95124+0.37622i,0.97503-0.086999i,0.21854-0.044033i,0.22623+0.41231i,-1.2082-0.73363i,1.6174+0.20198i,-0.82916+1.2484i,-0.053931-1.1183i,-0.95367+0.59014i,0.6524+0.30748i,0.061788-0.843i,0.43205+0.18268i,-0.7482+0.85708i,-0.73492-0.26431i,-0.24044-0.092499i,0.56457-1.1414i,-0.20861+0.98975i,0.9098-0.33384i,-0.94059+0.13401i,0.082599+0.079841i,-0.24064-0.92143i,-0.47222+0.82031i,1.447-0.53738i,-0.080609+0.43245i,-1.5401+0.10008i,1.6844-0.10371i,-1.156+0.35533i,1.2561-0.37416i,-0.61235+0.12779i,0.29647-0.3665i,-0.40454-0.3948i,1.3004+0.43294i,-0.070178+0.15515i,-0.6611+0.028854i,1.0018+0.12566i,0.027483+0.023064i,-0.33017+0.0052117i,-0.49072+0.44523i,0.80616-0.46476i,-0.25977+0.27734i,0.28839-0.35858i,0.42155-0.077828i,-0.06076+1.2015i,-0.47109-1.4879i,-0.020904-0.31943i,-0.075417+1.5517i,0.86433-0.24414i,-1.3681+0.23222i,1.5395-0.42642i,-0.46905+1.0215i,0.37951-1.1408i,-0.99082+0.55664i,-0.79702+0.083453i,0.66687+0.56262i,-0.41326-0.31171i,-0.099823+0.34892i,0.11226-0.28081i,0.38695-0.99819i,-0.035038-0.21281i,0.50349+1.2202i,0.19773-0.78475i,-0.5784+1.1034i,0.67222-0.92588i,-0.79339-0.13964i,0.81672-0.14032i,-0.33834+0.6895i,-0.23461-1.2194i,0.48272+0.014418i,-0.6481+0.65587i,0.46018+0.5679i,-0.69334-0.56277i,-0.55495+0.18298i,0.60597+0.18121i,0.36623+0.1735i,0.041184+0.44732i,-0.58541-1.7702i,0.51413+0.35211i,-0.34064-0.71248i,0.73286+1.6113i,-1.125-0.57002i,0.72316+1.029i,0.23643-1.4055i,0.10127+0.45728i,-1.3546+0.14445i,0.79795-0.1196i
9,-0.41576-0.61988i,0.61278-0.29207i,0.25833+0.5055i,0.34885-0.33285i,-0.12636+0.36451i,0.69083-0.095839i,-0.15753-0.1899i,-1.3806+0.59685i,0.21976+0.18191i,0.1296-0.39536i,1.2013-0.24271i,-0.33236+0.84512i,-0.67948-0.3939i,0.38557+0.86408i,-0.047946-1.446i,-0.11993+0.26891i,0.75773+0.49166i,-1.1612+0.35872i,1.0296-0.857i,-1.1254+0.21769i,0.82825-0.64381i,-0.3125+1.2779i,-0.0086037-0.91324i,-0.47033+0.63951i,0.99999-0.84333i,0.56492+0.25746i,-1.4769+0.055918i,0.55968-0.26655i,0.40792+0.22593i,-1.2166+0.26542i,0.56517-1.2348i,0.57716+0.72105i,-0.42736-0.89077i,0.46778+0.091487i,0.13133-0.11014i,0.2263+0.53226i,0.68456-0.089716i,-0.81686-0.051245i,0.78242+0.42793i,-0.80273+0.65555i,-0.10022-1.5031i,0.55948+0.70183i,0.073178+0.04518i,-0.94943-0.15611i,0.12521-0.4942i,0.21208+1.1285i,0.75504-0.36287i,-1.24-0.29313i,0.66534+0.3387i,-0.76193-0.45023i,-0.39294+0.24843i,0.1737+0.17759i,0.23886-1.3395i,0.8608+0.32884i,-1.3664+0.59682i,0.068687-0.45408i,0.7453+1.0546i,0.16716-0.17475i,-0.48921-0.73428i,-0.35673-0.3406i,1.038+0.033556i,-0.99439+0.85682i,0.7289-0.47733i,-1.2124+0.23581i,1.4439-0.0060863i,-0.80897+0.59854i,-0.35482-1.1549i,1.3898+0.27295i,-1.0821+0.30271i,-0.1123+0.0086295i,1.2617-0.26214i,-0.71118+0.56869i,-0.51562-0.85513i,1.1206+0.65473i,0.016497-0.49051i,-0.10955+0.38767i,0.4312+0.30321i,-0.3966-0.77588i,-0.51385-0.019746i,1.1772+0.58835i,-0.26637-0.12309i,0.19769+0.69089i,-0.2606+0.5418i,-1.2327-0.54007i,1.4722-0.066549i,-0.8005+0.63665i,-0.081444-1.5448i,0.98257+0.94601i,-0.43932+0.90164i,-0.093131+0.19624i,0.34305-1.1696i,-0.6319+1.0759i,-0.86584-0.42224i,1.4243-0.024599i,-0.78978+0.58173i,0.6377-1.0275i,0.31933+0.59731i,-0.20553+0.51495i,-0.48478-0.74236i,-0.228+0.31883i,0.23749-0.11848i
10,0.69856-0.14851i,-0.37878+0.95742i,-0.90883-0.43591i,0.66405+0.53435i,-0.3174-1.2612i,-0.55039+0.62793i,0.43179-0.88128i,0.3366+1.2948i,0.52136-0.68371i,-1.2832+0.29683i,-0.18016-0.07725i,0.44628-0.93759i,-0.58328+0.6737i,0.44661-0.89488i,0.93901+0.42525i,0.13434+0.091229i,0.16025+0.067818i,0.16306+0.085937i,0.19042+0.054399i,0.16137+0.095081i,0.14362+0.077734i,-0.38297+0.90518i,-0.30444-1.2666i,0.32942+1.2888i,-0.90633-0.47346i,0.41841-0.90831i,-0.54711+0.6727i,0.42503-0.935i,0.34769+1.2677i,-0.29851-1.2787i,0.045165-0.1426i,0.03496-0.19416i,0.093478-0.16427i,0.34544+1.2492i,0.49643-0.70002i,-0.45191+0.9279i,0.5169-0.67912i,0.14508+0.052535i,-0.42467+0.89667i,-0.27591-1.2973i,-0.53737+0.70121i,0.42397-0.91338i,0.93207+0.45999i,0.17721+0.082728i,-0.65375-0.50826i,0.85646+0.42915i,-1.2977+0.33711i,1.281-0.31016i,-0.46717+0.91277i,-0.87551-0.45106i,0.70691+0.51812i,0.48828-0.66442i,-0.44603+0.89603i,0.51999-0.64052i,0.16375+0.091436i,-1.2539+0.30061i,0.68083+0.49261i,0.4887-0.64804i,-0.44982+0.87684i,-0.057042+0.16987i,-0.90828-0.45936i,1.2774-0.31637i,-0.45021+0.90069i,-0.92769-0.40521i,1.237-0.29798i,-0.70826-0.53798i,0.099936-0.18215i,0.91627+0.44364i,-0.42612+0.87705i,-0.045435+0.18107i,-0.88675-0.41383i,0.44817-0.89723i,0.079234-0.15349i,-0.5355+0.66799i,0.64894+0.49137i,-0.001077+0.17601i,-0.94514-0.40624i,-0.16001-0.060703i,-0.12215-0.052631i,0.71178+0.54916i,-0.032274+0.15279i,-0.32167-1.2561i,0.88696+0.42436i,0.15094+0.045472i,-0.4307+0.89356i,-0.92929-0.44807i,1.3028-0.34458i,-1.2545+0.29246i,-0.19639-0.060958i,0.42279-0.92574i,0.88875+0.46034i,-0.41775+0.89931i,-0.31759-1.3046i,-0.52912+0.6888i,0.43895-0.9332i,0.27218+1.2676i,-0.92505-0.42437i,1.2927-0.32241i,-0.6457-0.54709i,0.043319-0.12977i,0.19248+0.56572i
