Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Label
501,-0.15703+0.82682i,-0.003841-0.0079453i,-0.29238-1.1221i,-0.060774+1.1389i,-0.43271-0.66268i,1.1925+0.017368i,-1.0515+0.60611i,0.35835-1.5168i,-0.4682+0.26389i,0.86228+0.44958i,-0.30635+0.91905i,-0.16559-0.92372i,-0.052967-0.31142i,-0.60598-0.019651i,-0.16469+0.30737i,1.4261-0.028488i,0.19272-0.37422i,-0.46224-0.41753i,0.072677+0.34021i,-0.065385+0.10895i,-0.39872+0.47116i,-0.033503-0.18235i,0.52772-0.12579i,-0.56801-0.93966i,1.0861+0.24964i,-0.96718-0.24991i,0.64254+0.76379i,0.35371-0.77332i,-0.97686+0.0050617i,0.71069+0.30833i,0.075589+1.1412i,-1.0104-1.2216i,1.1274+0.38747i,-0.34364-0.50187i,-0.19833-0.47966i,0.043401+1.4668i,0.092782-0.23825i,-1.0472-0.3671i,0.47179-1.0428i,-0.18623+1.2464i,0.70097-0.41941i,0.14541-0.44881i,0.2722+0.61802i,-0.78806+0.57702i,-0.015338-1.7296i,-0.42428+0.48125i,0.92726+1.0761i,-0.89448-0.92884i,0.65087-0.71687i,0.39179+0.62894i,0.34953-0.28738i,0.22219-0.0064878i,-0.75429-0.17939i,0.086456+0.16701i,0.17363-0.0050396i,0.00073402+0.81017i,0.39435-0.62525i,-1.2863+0.43641i,0.59969-0.08937i,0.076336-0.8951i,-0.40535+0.59496i,1.0334-0.11269i,-0.71639+0.91347i,-0.1025-1.4627i,-0.26858-0.14618i,1.0583+1.0625i,-0.37487-1.176i,-0.56009+0.44425i,0.3788+0.7999i,0.58468-0.48206i,-0.71992-0.21879i,0.19112-0.77205i,-0.9465+0.97945i,1.526-0.24674i,0.44421+0.055642i,-1.0926+0.85269i,0.93488-1.0281i,-1.2553+0.93115i,-0.031109+0.10392i,0.52859+0.58276i,0.032646-0.73338i,0.35245+0.0051731i,-0.26159-0.16903i,-0.027747-0.63178i,-0.75532+0.29842i,0.9258+0.32196i,0.57452-0.36256i,0.099187+0.24908i,-0.17364+0.94499i,-0.25932+0.56071i,0.039706-1.5457i,-0.84386+0.56902i,0.31792-1.1497i,0.012671+1.0589i,-0.49735-0.57127i,0.31908-0.73871i,0.35936+1.6456i,0.58964-1.2088i,-0.25471+1.052i,-0.51002-0.72519i,0.20791+0.2129i,3
502,0.14098+1.0882i,-0.69619-1.2602i,0.50438+1.0383i,-0.35911-1.3932i,0.39+0.57278i,0.12847-0.47564i,0.12418-0.055605i,0.087651+0.75828i,-0.41204-0.4724i,-0.43136+0.15241i,-0.23086+0.063798i,-0.090152-0.2432i,0.99581-0.11124i,-1.4595+0.31432i,0.98056-0.61481i,-0.43946-0.14875i,0.11291+0.48508i,-0.41091-0.75426i,0.97952-0.028753i,-0.36231+0.6965i,0.62268+0.27238i,0.16711-0.8048i,0.042082+0.97462i,-0.38171+0.76413i,-0.70758-0.45713i,0.12441-0.36533i,0.45962-0.79892i,-1.1656+0.92723i,0.78924+0.10913i,-0.24625+0.46016i,0.31172-0.90537i,-0.59289-0.50982i,0.11849+0.40243i,-0.5576-0.1602i,1.4025+0.4249i,-0.17978+0.55724i,-0.81532+0.18893i,0.44197-1.1347i,-0.12712+0.60003i,-0.29104-0.72894i,-0.040085+0.35814i,0.84781+0.59094i,-0.3903-0.35466i,-0.40043+0.59462i,0.69497+0.1109i,-1.1619-0.40685i,1.1295-0.26498i,-0.34246-0.040977i,0.11436+1.0625i,-0.43389-0.90227i,-0.39209+0.46332i,1.0412+0.29592i,-0.39597+0.068121i,0.61023-0.82328i,-0.60983+0.7982i,-0.0037573-0.46042i,-0.43389+0.19125i,-0.055208-0.85488i,0.66079+0.82833i,-0.4557+0.30818i,0.26952+0.34289i,-0.30145-0.29194i,-0.10866-1.3699i,0.33579+1.8233i,-0.54673-0.36245i,0.83099+0.18728i,-0.87968-0.7207i,0.063722-0.63369i,0.54488+0.68301i,0.95524-0.16611i,-0.88264-0.70263i,0.11781-0.21643i,-0.0099443+1.1203i,0.61335+0.21773i,0.31728-0.19952i,-0.42341+0.56354i,0.56135-0.27366i,-0.17282-0.60066i,0.052468+0.92477i,-0.14912-0.81248i,-0.61872+0.2236i,0.4373+0.7424i,0.20536-0.72159i,0.6023+0.034113i,-0.79714-0.063626i,-0.12016+0.42633i,-0.57351+0.22863i,-0.23267-0.3399i,0.65091+0.7259i,-0.48821-0.050928i,-0.25553-1.3419i,0.58703+0.19141i,0.94685+0.26693i,-0.98987+0.59619i,0.40587-0.64815i,0.063932+0.78893i,-0.0094704+0.11108i,-0.78445-0.35586i,0.30538+0.20059i,-0.66348+0.16187i,0.51268-0.46151i,3
503,0.74836+0.20519i,-0.2402-0.18094i,-0.82658+0.53169i,0.66134-1.1702i,-0.14332+0.25991i,0.23934+1.1799i,-0.70921-1.3504i,1.0262-0.0060972i,-0.84526-0.17754i,0.62273-0.31616i,-0.25279-0.39246i,0.08223-0.2255i,0.68678+1.3467i,-1.4023-0.23034i,1.333-0.69496i,-0.68416+0.5174i,-0.062154-0.02496i,0.68807+0.4886i,-0.3214-0.07092i,0.49917-0.67259i,-0.69765+0.46456i,-0.055271-0.095634i,0.07784-1.034i,-0.16194+0.12393i,0.20392+1.1132i,-0.61547-0.78319i,0.64063+0.36977i,-0.75216-0.48566i,0.933-0.010888i,-0.9312-0.1361i,0.99551+0.63777i,-0.11339-0.48723i,-0.39655-0.85761i,0.31529+1.0677i,0.065164+0.7129i,-0.97642-1.0003i,0.99413+0.65336i,-0.22428-1.0964i,-0.30443+1.3174i,0.30818-1.2672i,0.13787+1.5675i,-0.556-0.7065i,0.39366+0.87362i,-0.41216-1.7227i,0.98231+0.94878i,-0.28892-0.070844i,-0.11965+1.0184i,-0.41287-1.6708i,0.45171+0.058732i,-0.038149+0.8895i,-0.48534-0.85107i,0.46151+0.77291i,0.011057+0.075055i,-0.14485-0.59118i,0.13634+0.54141i,0.22793-0.28933i,-0.43785+0.80996i,-0.12537-1.5238i,-0.069969+0.81779i,0.023107+0.61117i,-0.63554-0.77641i,0.27654+0.11561i,-0.29701+0.34961i,0.97819-0.84082i,0.020422+1.0078i,-1.4098-0.3106i,0.57651-1.1939i,0.95146+0.97502i,-0.89215-0.023477i,0.42207+0.91086i,0.19101-0.12678i,-0.58228-1.377i,0.70063+1.3502i,-0.51702-1.359i,0.10759-0.19536i,-0.42998+0.51939i,0.26056+0.1302i,0.3156+0.22229i,-0.80864-0.47891i,0.38146+0.75988i,-0.62993-0.78889i,1.0479+0.66939i,0.0073456+0.15318i,-1.1121-0.64066i,0.45939-0.85714i,0.47339+0.080655i,0.51822+0.20718i,0.020106+1.0003i,-0.49262-0.71651i,-0.5061+0.66386i,-0.0062683-1.0295i,0.47228+0.68848i,-0.32039+0.46323i,0.24411+0.35542i,-0.095632+0.20414i,0.71612-0.92223i,-0.60195+1.2048i,0.43175-0.51418i,-0.86638+0.65611i,0.27547+0.35634i,-0.25366-0.7372i,2
504,-0.231+0.48397i,0.67064-1.035i,-1.098+0.13108i,0.15785+0.29168i,0.45912+0.34209i,-0.18899-0.85381i,0.10603+0.19437i,-0.14019+0.15941i,-0.069358+0.011839i,-0.42652+0.50428i,0.75138-0.11302i,-1.2945-0.31033i,1.2664+0.080099i,-0.029369+0.58407i,-0.12795-1.208i,0.55952+0.98216i,-0.33799+0.74195i,0.13345-1.2254i,-0.41652+0.38626i,-0.31288-0.26448i,0.17985-0.80836i,-0.13856+0.98608i,0.77076+0.29938i,-1.1357-0.45471i,1.228+0.29932i,0.47204-0.48567i,-0.98921-0.51439i,0.66854+0.46596i,-0.57406+0.083962i,-0.30109+0.29867i,0.98513-0.88669i,-0.70818+0.42339i,-0.56516-0.15694i,0.56632-0.73278i,-0.017558+1.1497i,-0.0584-1.5615i,0.30618+1.0086i,0.30164-0.85711i,-0.57626+0.99307i,0.56937+0.59779i,-0.57648-0.18436i,-0.6597-0.018536i,1.4424-0.7978i,-0.67484+1.3437i,0.11238-0.15755i,0.48935-0.60161i,-1.4128+0.068705i,-0.15926-0.11026i,1.0479-0.70124i,0.28913+1.3598i,-0.42334+0.41328i,-0.53313-1.1804i,-0.3911+0.41291i,0.36552+0.3234i,0.082396-0.63624i,0.014785-0.030917i,-0.39977+0.53736i,-0.13672-1.1052i,0.28566+0.21692i,0.34678+0.1679i,0.0040961+0.81148i,0.1317+0.27866i,0.080357+0.028635i,-0.21763+0.51717i,-0.52551-1.3962i,-0.30684+0.7526i,-0.25249+0.1212i,1.0801+0.064297i,-0.71247+0.47735i,0.64675-0.97697i,-0.37353-0.060175i,0.28473+0.40937i,-0.86248+0.21062i,1.4236-0.323i,-1.1027+0.021116i,0.46842-0.825i,-0.33001+0.087856i,0.56666+0.22284i,-0.66905+0.27349i,0.9572+0.45177i,0.18708-0.84739i,-0.21649+0.5786i,-0.0060515-0.21129i,0.74191+0.20574i,-1.0542+0.31262i,-0.27916-0.13619i,-0.091524-0.04812i,1.0848-0.60387i,0.33053+0.61606i,-0.12737+0.52653i,-0.41827+0.3837i,-0.27838+0.040192i,-1.0328-0.55396i,0.37394+0.23784i,0.55231+0.25107i,-0.76316-1.1832i,1.1778+0.10896i,-0.85488+1.1569i,0.37107-0.60543i,-0.87202+0.48376i,0.55242-0.41632i,3
505,0.1249+0.71731i,-0.92771-0.40495i,-0.18393-0.10114i,0.65216+0.53072i,-0.045931+0.15286i,-0.88539-0.43201i,0.46125-0.89693i,0.31488+1.277i,-0.32744-1.3012i,0.0098132-0.14604i,0.078237-0.1403i,0.34752+1.2637i,-0.28692-1.2878i,0.35222+1.2865i,-0.31904-1.2755i,0.048204-0.18855i,-0.54938+0.7112i,-0.19-0.090549i,0.41299-0.87726i,0.32838+1.2902i,-0.33614-1.2448i,0.3086+1.3171i,-0.33228-1.2865i,0.071157-0.15298i,0.072609-0.16734i,-0.51415+0.642i,0.45069-0.9144i,-0.53886+0.67268i,0.68385+0.55147i,-0.31616-1.2658i,0.054165-0.13078i,0.32269+1.2307i,-0.89171-0.43808i,0.4604-0.89745i,0.31946+1.3046i,-0.094491+0.15715i,-0.066839+0.17813i,-0.28694-1.2794i,-0.5391+0.67543i,0.6898+0.54476i,-0.93443-0.44939i,-0.15299-0.063664i,0.70411+0.51078i,-0.9138-0.41972i,1.2561-0.30055i,-0.68104-0.50746i,-0.52173+0.65528i,0.43507-0.90636i,0.87446+0.42073i,-0.46653+0.93083i,-0.91623-0.45601i,0.68406+0.52518i,-0.039099+0.13943i,-0.073169+0.16432i,0.54848-0.69008i,-1.2695+0.27804i,0.44892-0.90287i,0.92954+0.45205i,-1.3053+0.3246i,0.68184+0.55004i,-0.060084+0.16027i,-0.11059+0.16877i,-0.31449-1.2729i,-0.56229+0.67572i,-0.18089-0.083238i,1.2451-0.32904i,-1.2525+0.33808i,0.71479+0.49967i,-0.070768+0.14117i,-0.30595-1.2774i,0.34+1.2801i,-0.33479-1.274i,0.27106+1.2476i,0.52313-0.65638i,-1.3018+0.31194i,-0.16621-0.078938i,1.2575-0.2938i,-0.42234+0.88227i,-0.097488+0.14436i,-0.33359-1.309i,-0.51558+0.66407i,0.41766-0.90255i,0.90527+0.41122i,-0.6642-0.53024i,0.91597+0.41026i,-0.41839+0.90426i,-0.3066-1.286i,0.86531+0.40183i,-1.2803+0.29486i,1.2936-0.29311i,0.17954+0.093157i,-0.67771-0.56858i,0.31562+1.2759i,-0.33711-1.2962i,0.070879-0.1696i,0.027562-0.11902i,0.91889+0.44908i,-0.67867-0.56064i,0.33765+1.3261i,0.53237-0.68119i,-0.55219+0.23433i,1
506,0.5689-0.40753i,-1.1122+0.15793i,0.39193+0.7655i,0.062497-0.86443i,0.16502+0.56928i,0.2485-0.32454i,-0.46211+0.78636i,-0.4716-0.15179i,0.96032-0.88286i,-0.60175-0.55084i,-0.66054+0.90679i,0.45467-0.21017i,0.46238-0.79894i,0.49501+0.17862i,-0.30718+0.73541i,0.21562-0.31474i,-0.075582-0.59454i,0.16116-0.14297i,0.10941+1.5643i,-0.056918-1.469i,-0.39624+0.66089i,0.69173+0.48188i,0.011035+0.19163i,0.16146-0.82645i,-0.64003-0.53502i,-0.054733+0.80889i,0.8044-0.519i,-0.44418+0.089723i,0.42964+0.17573i,-0.41645+0.7684i,-0.32302-1.184i,0.84417+1.0076i,-0.74099-0.37699i,0.898+0.13601i,-0.15074+0.53616i,-0.23452-1.1024i,-0.65749+1.0017i,-0.1499-0.072685i,0.44921-0.067031i,-0.14401-0.56693i,0.81553+0.45018i,-0.88479+0.0038038i,0.21021-0.41035i,-0.099494-0.71093i,0.69671+1.3216i,0.010265+0.14974i,-0.6665+0.2919i,0.36146-0.63896i,-1.2316+0.22927i,0.5792-1.2196i,0.44924+0.030671i,0.89328+0.40651i,-0.5513+1.2112i,0.39845-0.56729i,-0.56992+0.26743i,0.58262-0.064609i,-0.7753-1.0329i,0.71457+1.3314i,-1.366-0.24472i,0.653-0.61138i,0.30301-0.46448i,-0.76701+0.39945i,-0.016169+0.46508i,0.72554-0.43323i,-0.67647-0.53237i,0.88106+1.0187i,-1.0262-0.031054i,0.24038-1.3742i,0.23087+0.42479i,-0.53692+0.72109i,0.95943-0.90122i,-0.72889+0.4829i,0.56597-0.12915i,-0.19977+0.39164i,0.47222-0.68125i,-0.62324+1.1055i,-0.26671-0.53635i,0.30348+0.1887i,-0.16532-0.51603i,-0.5001+0.67921i,-0.27783-0.64187i,-0.12908-0.14147i,0.73368+1.0339i,0.72421-0.89209i,-0.87193-0.67907i,-0.323+1.1694i,-0.57227-0.28331i,0.92394+0.70029i,-0.50079-0.046995i,0.30354-1.3119i,0.24477+0.56742i,-0.30717-0.2569i,-0.85596+0.41203i,0.17208+0.17688i,-0.13627+0.010315i,-0.55515-0.31025i,1.3285-0.67949i,0.028378+0.98146i,0.0040685+0.17057i,-0.23146-1.1103i,-0.040254+0.59486i,2
507,0.1407+0.68968i,-0.11929+0.19034i,-0.34214-1.2519i,-0.52251+0.67726i,0.43297-0.92812i,0.90653+0.40004i,-0.40972+0.94487i,-0.92245-0.45196i,0.47872-0.90687i,0.079349-0.10259i,0.30889+1.238i,-0.089615+0.18674i,-0.26381-1.2855i,-0.57156+0.64981i,1.2541-0.29312i,-0.66332-0.54259i,0.070769-0.15049i,0.071606-0.159i,0.87623+0.43949i,0.19748+0.037469i,-1.3037+0.32568i,0.66332+0.56994i,-0.082396+0.13131i,-0.36523-1.2612i,-0.52763+0.68171i,0.42129-0.91667i,-0.55005+0.6329i,1.3066-0.32101i,-0.41333+0.8672i,-0.08997+0.16007i,0.51649-0.70104i,-0.46247+0.87862i,-0.097013+0.15217i,0.50637-0.70542i,-0.68402-0.50334i,0.92321+0.41937i,-0.48967+0.89497i,0.52441-0.68202i,0.184+0.070938i,-0.44367+0.88135i,-0.89469-0.42397i,1.2809-0.27853i,0.16161+0.058255i,-0.41161+0.88913i,-0.067623+0.15182i,-0.30108-1.2668i,0.29325+1.3095i,-0.92973-0.45995i,0.67699+0.54967i,-0.90222-0.43517i,-0.16226-0.065746i,1.3077-0.31005i,-1.2814+0.30821i,1.2634-0.3319i,-0.72933-0.53601i,0.089042-0.12824i,-0.48865+0.69179i,1.2151-0.33919i,-0.71302-0.5321i,0.93805+0.47277i,-0.67569-0.52452i,-0.49025+0.67863i,-0.14383-0.064897i,0.45847-0.94712i,0.28154+1.2545i,0.51211-0.70889i,-0.68521-0.53007i,0.31536+1.2619i,-0.33244-1.2953i,0.32116+1.2592i,-0.14438+0.15412i,0.50131-0.69858i,0.17103+0.054113i,-1.272+0.32125i,1.2437-0.35049i,-0.68816-0.53727i,0.27411+1.2576i,-0.084157+0.16876i,-0.083115+0.13699i,0.53825-0.6829i,-0.69-0.50675i,0.92922+0.41325i,-1.2767+0.30699i,0.68544+0.56304i,-0.086116+0.14244i,-0.33823-1.2983i,0.089031-0.18388i,0.93339+0.43989i,-1.2943+0.33378i,0.7214+0.4721i,-0.9122-0.44502i,0.45047-0.9485i,0.90962+0.41541i,-0.41545+0.92519i,0.51992-0.69433i,0.15633+0.087054i,0.14192+0.053029i,-1.2867+0.25991i,1.2637-0.30744i,-0.68966-0.51343i,0.16652+0.54016i,1
508,0.74564-0.42959i,-0.46339-0.14687i,-0.34734+0.091231i,0.48346+1.0933i,-0.53684-1.5103i,0.76098+1.0662i,-1.367-0.30072i,0.99445+0.14084i,-1.0649-0.39826i,1.0385-0.68226i,-0.30644+0.959i,-0.14959-0.28035i,1.0901-0.028051i,-1.2647+0.19916i,0.40542-0.78639i,0.58011+0.71958i,0.1099+0.43335i,-0.57115+0.27317i,0.2471+0.3584i,-0.45351-0.39351i,0.041888+0.6529i,-0.41087-1.3527i,0.2983+1.4015i,-0.40855-1.3578i,0.61451+1.3622i,-0.82393-1.4518i,0.29074+1.3743i,-1.0572-0.49052i,1.6856-0.066394i,-0.085002+0.004891i,-0.29958+0.32864i,-0.29968+0.15733i,0.51361-0.38142i,-0.11187+0.76248i,-0.57317-0.52547i,0.17609+0.074738i,-0.68665+0.050674i,1.0195-0.59483i,-0.038313+0.68596i,-0.57983-0.63824i,0.18097+0.30768i,0.51051-0.4423i,-0.6895-0.042702i,0.21111-0.0050258i,0.21447+0.37078i,0.17472+0.17393i,-0.19248-0.036102i,0.87376-0.47238i,-1.2557+0.62431i,0.0079423-1.0461i,0.34066+0.88974i,-0.076346+0.032573i,0.53392-0.021723i,-0.14988-0.031946i,0.058109-0.7584i,-0.16115+0.80567i,0.5431+0.42196i,-0.25534-0.26369i,0.10094-0.75907i,-0.2983+0.16427i,0.26139+0.033247i,0.40794-0.13303i,-0.12277+1.1529i,-0.31221-0.27047i,-0.27123-0.41404i,0.62088+0.17361i,-1.1262-0.22347i,1.25+0.60631i,-0.72494+0.47354i,0.61568-0.21253i,-0.27925+0.21618i,0.59371-0.74576i,0.013518+0.71235i,-0.17543-0.6225i,-0.93774+0.3074i,0.58027-0.69708i,0.40795+0.96224i,-0.28726+0.18859i,0.81367-0.37183i,-0.70464+0.54582i,-0.19502+0.30708i,0.38853+0.2139i,-0.50738-0.9726i,-0.059185-0.74398i,-0.029489+1.0518i,0.22705+0.78455i,0.55285-0.39062i,-0.44686+0.59868i,-0.94318-0.97453i,1.0798+0.93621i,-0.26825+0.59638i,-0.40578-1.6844i,0.52233+1.5493i,-0.43856-0.045275i,0.4855-0.28781i,-0.71495-0.72635i,-0.38376+0.3564i,0.21834+0.16666i,-0.48251-0.55409i,1.1788-0.38603i,-0.39164+0.54522i,3
509,-0.058106-0.34344i,0.30358-0.45351i,-0.28391+1.2856i,0.81045-0.36208i,-0.39154-0.8122i,0.008023+0.92073i,-0.13178-0.54181i,0.042729-0.096302i,0.77217+0.49246i,-0.85485-0.018307i,0.012365+0.61523i,-0.65056-0.81885i,0.42368-0.86291i,0.58409+0.68752i,0.43381+0.26768i,-1.5136+0.090468i,1.3407-0.67579i,0.26205+0.6502i,-0.6469-0.36952i,0.26632+1.2004i,-0.29332-1.1064i,0.78089+0.44549i,-0.33816-0.77689i,0.25151+0.56169i,-0.27486-0.24326i,-0.15199+0.9442i,-0.064109-1.5518i,0.063495+1.4263i,0.99137-0.77485i,-0.16353-0.20218i,-0.073288+0.36353i,-0.82714+0.48317i,0.25191-1.3859i,0.44516+1.7059i,-0.96658-0.96935i,0.53906-0.26451i,-0.36247-0.31176i,0.86364+0.99613i,-0.4333-0.74377i,-0.84206+0.39783i,1.7273-0.45429i,-0.43832+0.20217i,-0.1866+0.42136i,0.84216-0.44824i,-1.2051-0.32668i,0.25994-0.54357i,0.81368+0.33831i,-0.38424+0.75749i,0.24956-0.32371i,-0.20854+0.38515i,0.08234+0.72443i,-0.39389-1.7153i,0.28371+1.0426i,-0.8101-0.47875i,0.43864-0.87i,0.9506+0.9724i,-0.41895+0.86481i,-0.97979-0.94687i,-0.10849-0.1358i,0.66102+0.34094i,-0.43095-0.19974i,1.2134-0.23584i,-1.0358+0.3039i,0.98419+0.1224i,-0.33069-0.79988i,0.64464+0.81321i,-0.28707-0.11287i,-0.46314+0.75475i,1.0571-0.75777i,-0.56112+1.2177i,-0.95358-0.92907i,-0.37233+0.23307i,1.3104-0.69575i,0.29226+0.56473i,-1.1832+0.35556i,-0.23472+0.063609i,0.55446+0.53908i,-0.70181-1.3382i,0.59294+1.368i,-0.035766-1.4382i,0.13667-0.1496i,-0.17316+0.23017i,0.15723+0.54578i,0.24604-0.27914i,-0.83864+0.52182i,0.41833-0.11358i,-0.74504-0.47563i,0.76892+1.0098i,0.45449-0.56729i,-0.7461-0.99875i,-0.44055+0.51847i,0.55971-0.23976i,-0.88462+0.43163i,0.96987-0.94901i,0.54481+0.11838i,0.003641+1.0666i,0.29669-0.14644i,-0.3766-0.76239i,-0.49632+0.030747i,-0.26427+0.18611i,0.58368+0.11276i,2
510,-0.30273+0.032381i,-0.42655-0.26451i,1.0024+0.66526i,-0.61002+0.27183i,0.28267-1.2589i,-0.62597+1.0211i,0.0048765-0.96584i,0.087306+0.43846i,0.43286-0.80268i,-0.10448+0.24537i,1.0783+0.084609i,-0.061672+0.48789i,-0.7492-1.0188i,0.96542+0.96545i,-0.79242+0.60736i,0.24255+0.38208i,-0.098455-1.4525i,0.65975+0.76263i,-1.5219+0.073765i,0.4337-0.213i,0.57264-0.1354i,-0.4588+0.78509i,-0.61695-0.79088i,0.37864-0.90123i,0.70074+1.3301i,-0.26207+0.57092i,-0.49442-0.092417i,0.38416-0.62596i,-0.96878-0.1025i,1.5409-0.048071i,-1.4372+0.022705i,0.80481-0.593i,-1.0062+0.7384i,1.3504-0.68359i,-0.60981-0.53415i,0.81362+0.3046i,0.16643-0.0079176i,-0.46095+0.091904i,-0.21639+0.33066i,0.25585+0.2298i,0.87896-0.43415i,-0.62002+1.2151i,-0.042762-1.4343i,-0.028574+0.8439i,0.55868-0.030203i,0.38992-0.21437i,-0.44513+0.21431i,-0.4227-0.87587i,-0.42911+0.54798i,0.29055+0.15832i,-0.31429+0.3387i,-0.036157-1.0032i,1.1342+0.63019i,-1.176+0.36938i,0.0059999-1.0091i,0.010835-0.18652i,0.72003+0.37773i,0.47525+0.3186i,-0.53128+0.25015i,0.12055-0.96137i,-0.1288+0.28518i,-0.51885+0.66924i,0.97439-0.85427i,0.17068+0.019016i,-1.1135+0.20114i,0.871-0.63081i,0.61333+0.8201i,-1.2117+0.33847i,0.099316-0.34542i,-0.33897+0.36109i,-0.54609-0.25615i,0.53593+0.43395i,-0.094686+0.11701i,-0.27429-0.569i,1.183-0.29034i,-0.053952+0.4838i,-1.268-0.31472i,0.99289+0.69964i,0.19311-0.8412i,-1.0429+0.83609i,1.3705-0.56842i,-0.43483+0.20651i,0.7189-0.044707i,-0.31924+0.84947i,-0.25058-1.0666i,0.14867-0.10634i,-0.14978+0.25402i,-0.47793+0.67154i,0.73023-0.5062i,0.19271+0.70324i,-0.0039165+0.16349i,-0.1122-0.47644i,-0.29739-0.22148i,-0.32958-0.35422i,0.57623+1.3862i,0.28831-1.1624i,-0.45714+0.094871i,0.79493+0.43358i,-0.27042-0.083543i,-1.2314+0.26023i,0.70581-0.26115i,2
