Id,Input
1,-0.39526+0.75639i
2,0.72661-1.004i
3,0.66086-1.5517i
4,1.3783+0.79779i
5,-0.30402-0.36239i
6,-1.2896-1.1862i
7,-0.12792-0.1951i
8,0.51376+0.065932i
9,-0.59935+1.0676i
10,-0.11283+0.46461i
11,-0.97359-0.20432i
12,-0.55065+1.3579i
13,0.67203+0.48351i
14,-0.32403-0.59176i
15,-1.1085+0.84402i
16,-0.8554+0.53527i
17,0.042556-0.51253i
18,0.60846+0.67511i
19,0.93883+0.10833i
20,1.0439-1.0729i
21,0.28398-1.12i
22,0.86628+1.3876i
23,-1.2547-0.27945i
24,0.84223-0.94351i
25,-1.2023-1.3343i
26,-0.52553-0.73804i
27,0.68049+0.48552i
28,0.49188-0.12698i
29,-0.069956-1.1911i
30,-0.49091+0.70586i
31,0.15509-1.4362i
32,0.84528+1.3573i
33,0.84399+0.86975i
34,0.83698-0.73842i
35,0.70365+0.016007i
36,-0.63451-0.81683i
37,-0.54581+0.053874i
38,-1.1917+1.3768i
39,0.97122+0.71418i
40,-0.78784-0.57985i
41,0.81465+0.75322i
42,-1.0464+1.0208i
43,-0.66704+0.29853i
44,1.0915-0.93434i
45,0.10241-0.73776i
46,1.2086-1.1447i
47,0.13478-0.57765i
48,0.83497+0.79025i
49,-0.38537+1.132i
50,0.96786+0.36885i
51,-0.52139-1.0377i
52,0.46649+0.76904i
53,-0.037045+0.74831i
54,-0.90752-0.31667i
55,0.75173-1.1203i
56,2.045-0.1005i
57,-0.45357-1.4575i
58,0.85072-0.91303i
59,1.0227-0.60999i
60,-0.19304-0.40263i
61,0.31444-0.35626i
62,-1.2552+0.65341i
63,-0.60226+0.91111i
64,-0.23657-0.064512i
65,-1.3203-0.80223i
66,1.8393-0.24744i
67,-1.3418-0.95664i
68,0.7201-0.94072i
69,0.049965-0.17741i
70,0.52325+0.25785i
71,-0.74894-0.91923i
72,-0.57682+0.39358i
73,0.78724-0.65144i
74,0.3437+0.69962i
75,-0.62824+0.9689i
76,-0.26585+0.543i
77,-0.6845+0.24467i
78,-0.59971+0.13502i
79,-1.1655-0.44699i
80,-1.7901+0.94536i
81,-0.27998-0.71801i
82,-0.68263+1.3028i
83,1.8125-0.32709i
84,-1.0802-0.62198i
85,0.078041-1.0924i
86,-0.11292-1.7283i
87,0.40722-0.83805i
